# ACT PA4 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#220 GHz bandwidht / band center table
#col0: channel
#col1: band center
#col2: band width
1233.0 219.99 66.29
1264.0 216.09 65.1
1265.0 217.77 73.6
1296.0 215.33 65.35
1328.0 220.8 75.04
1329.0 231.42 70.89
1553.0 219.3 58.51
1555.0 224.53 81.42
1587.0 224.41 75.9
1616.0 219.07 74.67
1617.0 218.42 75.93
1618.0 222.15 75.83
1619.0 234.55 60.36
1620.0 232.29 36.24
1648.0 215.7 70.11
1649.0 219.28 78.27
1650.0 224.0 74.97
1651.0 225.85 76.81
1680.0 222.4 74.09
1681.0 219.23 68.91
1712.0 221.32 76.32
1713.0 223.99 76.1
1776.0 223.65 67.94
1939.0 224.19 73.3
2000.0 222.31 67.19
2001.0 219.39 76.29
2002.0 222.28 75.98
2032.0 218.62 78.38
2033.0 219.86 78.52
16.0 219.36 81.52
17.0 224.4 73.06
49.0 227.67 75.89
337.0 227.08 54.65
401.0 230.67 71.17
432.0 227.11 79.45
496.0 234.46 58.49
81.0 213.65 79.74
112.0 220.88 62.53
144.0 224.52 43.01
145.0 219.37 70.41
528.0 219.37 76.54
529.0 220.77 72.72
560.0 219.5 76.59
561.0 221.99 75.22
592.0 221.74 68.55
593.0 218.23 64.68
624.0 220.61 82.08
849.0 218.16 77.09
880.0 225.59 30.15
912.0 223.1 75.16
913.0 224.19 66.68
944.0 218.4 78.71
945.0 222.37 76.33
976.0 221.44 77.86
977.0 220.88 72.49
1008.0 224.28 76.53
1009.0 231.18 66.42
1233.0 223.6 74.56
1296.0 224.94 72.18
1297.0 223.54 77.42
1328.0 219.12 79.75
1360.0 217.94 75.86
1392.0 223.23 77.93
1681.0 227.63 75.41
1744.0 229.72 74.15
1745.0 230.13 73.09
1776.0 220.37 77.65
1907.0 234.1 57.12
188.0 190.92 6.94
220.0 171.47 5.76
646.0 218.52 51.44
377.0 226.69 73.35
442.0 224.73 82.85
516.0 212.18 70.63
696.0 221.98 83.63
698.0 222.5 83.12
771.0 216.39 75.72
772.0 214.99 72.42
803.0 217.96 76.25
804.0 221.68 78.72
836.0 221.26 78.48
920.0 223.45 81.39
952.0 222.38 78.38
953.0 224.99 72.89
1027.0 218.37 78.56
1028.0 218.62 78.71
1060.0 221.57 81.22
1091.0 228.24 75.95
1092.0 218.47 82.71
1209.0 221.65 81.3
1283.0 219.05 82.78
1284.0 225.02 76.51
1315.0 220.61 82.12
1348.0 220.95 79.45
1380.0 222.53 75.77
1412.0 221.04 84.09
1444.0 223.28 75.9
1476.0 226.15 80.03
1498.0 228.62 72.19
1540.0 226.28 70.75
26.0 236.89 46.79
29.0 221.57 78.46
60.0 215.91 75.92
217.0 218.52 74.7
248.0 218.51 79.06
249.0 219.3 77.97
250.0 218.62 75.81
282.0 229.98 62.47
283.0 226.62 77.37
284.0 220.33 81.63
312.0 216.91 81.35
314.0 219.85 81.46
316.0 216.25 75.33
348.0 225.3 73.99
473.0 217.88 76.86
505.0 217.53 77.75
536.0 229.01 70.47
538.0 216.02 80.91
539.0 230.17 66.64
568.0 215.85 81.41
570.0 217.65 82.25
729.0 217.05 80.89
794.0 214.46 78.69
824.0 217.34 78.39
826.0 217.22 79.68
1016.0 211.8 80.72
1048.0 223.76 76.33
377.0 229.84 73.6
440.0 227.87 78.57
442.0 227.02 78.21
665.0 226.46 79.08
696.0 224.05 79.24
772.0 212.57 73.42
952.0 222.16 78.09
986.0 226.13 79.5
1018.0 223.92 79.72
1027.0 217.11 74.26
1028.0 215.84 75.29
1059.0 217.2 75.99
1060.0 221.0 77.78
1092.0 220.09 76.01
1272.0 225.11 81.33
1283.0 218.12 78.33
1284.0 220.03 76.79
1315.0 220.85 74.7
1316.0 222.69 78.61
1348.0 220.66 76.92
