# ACT PA5 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#col0: frequency [GHz]
#col1: 90 GHz response
#col2: 90 GHz error on response from bootstrap
1.900500000000000114e+02 5.599999999999999943e-03 5.499999999999999681e-03
1.911500000000000057e+02 1.099999999999999936e-02 5.799999999999999600e-03
1.922500000000000000e+02 6.000000000000000125e-03 5.300000000000000024e-03
1.933499999999999943e+02 1.000000000000000021e-02 5.700000000000000205e-03
1.944499999999999886e+02 1.299999999999999940e-02 5.899999999999999863e-03
1.955399999999999920e+02 9.400000000000000369e-03 5.599999999999999943e-03
1.966399999999999864e+02 7.799999999999999642e-03 5.400000000000000286e-03
1.977400000000000091e+02 6.100000000000000387e-03 4.799999999999999580e-03
1.988400000000000034e+02 5.300000000000000024e-03 5.000000000000000104e-03
1.999399999999999977e+02 5.400000000000000286e-03 5.400000000000000286e-03
2.010399999999999920e+02 7.400000000000000328e-03 5.799999999999999600e-03
2.021399999999999864e+02 6.000000000000000125e-03 5.300000000000000024e-03
2.032400000000000091e+02 6.100000000000000387e-03 4.599999999999999922e-03
2.043300000000000125e+02 8.500000000000000611e-03 4.499999999999999660e-03
2.054300000000000068e+02 8.699999999999999400e-03 4.599999999999999922e-03
2.065300000000000011e+02 3.099999999999999891e-03 4.499999999999999660e-03
2.076299999999999955e+02 3.500000000000000073e-03 4.400000000000000265e-03
2.087299999999999898e+02 3.099999999999999891e-03 4.100000000000000346e-03
2.098300000000000125e+02 3.299999999999999982e-03 3.700000000000000164e-03
2.109300000000000068e+02 1.899999999999999996e-03 3.599999999999999901e-03
2.120200000000000102e+02 -8.999999999999999754e-04 3.200000000000000153e-03
2.131200000000000045e+02 -8.999999999999999754e-04 3.399999999999999811e-03
2.142199999999999989e+02 -1.399999999999999986e-03 3.599999999999999901e-03
2.153199999999999932e+02 -2.500000000000000052e-03 3.000000000000000062e-03
2.164199999999999875e+02 -1.399999999999999986e-03 2.799999999999999972e-03
2.175200000000000102e+02 1.799999999999999951e-03 3.599999999999999901e-03
2.186200000000000045e+02 6.999999999999999929e-04 3.799999999999999992e-03
2.197100000000000080e+02 -2.599999999999999881e-03 2.700000000000000143e-03
2.208100000000000023e+02 -2.899999999999999800e-03 2.799999999999999972e-03
2.219099999999999966e+02 -8.000000000000000383e-04 2.700000000000000143e-03
2.230099999999999909e+02 -1.600000000000000077e-03 2.700000000000000143e-03
2.241100000000000136e+02 4.000000000000000192e-04 3.299999999999999982e-03
2.252100000000000080e+02 5.000000000000000104e-04 2.700000000000000143e-03
2.263100000000000023e+02 -8.000000000000000383e-04 2.899999999999999800e-03
2.274000000000000057e+02 -1.799999999999999951e-03 3.099999999999999891e-03
2.285000000000000000e+02 1.799999999999999951e-03 3.200000000000000153e-03
2.295999999999999943e+02 -1.600000000000000077e-03 2.899999999999999800e-03
2.306999999999999886e+02 -2.000000000000000042e-03 2.899999999999999800e-03
2.318000000000000114e+02 -5.999999999999999474e-04 3.099999999999999891e-03
2.329000000000000057e+02 -1.600000000000000077e-03 3.200000000000000153e-03
2.340000000000000000e+02 -1.500000000000000031e-03 2.700000000000000143e-03
2.350900000000000034e+02 -3.500000000000000073e-03 2.799999999999999972e-03
2.361899999999999977e+02 -2.599999999999999881e-03 2.700000000000000143e-03
2.372899999999999920e+02 -4.000000000000000192e-04 2.700000000000000143e-03
2.383899999999999864e+02 -2.999999999999999737e-04 2.799999999999999972e-03
2.394900000000000091e+02 -1.199999999999999895e-03 2.599999999999999881e-03
2.405900000000000034e+02 -2.399999999999999790e-03 2.899999999999999800e-03
2.416899999999999977e+02 -2.899999999999999800e-03 2.799999999999999972e-03
2.427800000000000011e+02 -1.899999999999999996e-03 2.200000000000000133e-03
2.438799999999999955e+02 -1.299999999999999940e-03 2.599999999999999881e-03
2.449799999999999898e+02 -2.700000000000000143e-03 2.299999999999999961e-03
2.460800000000000125e+02 -4.199999999999999740e-03 2.299999999999999961e-03
2.471800000000000068e+02 -2.000000000000000042e-03 2.500000000000000052e-03
2.482800000000000011e+02 -8.999999999999999754e-04 2.500000000000000052e-03
2.493799999999999955e+02 -1.500000000000000031e-03 2.700000000000000143e-03
2.504699999999999989e+02 -1.500000000000000031e-03 2.700000000000000143e-03
2.515699999999999932e+02 -2.599999999999999881e-03 2.399999999999999790e-03
2.526699999999999875e+02 -1.299999999999999940e-03 3.399999999999999811e-03
2.537700000000000102e+02 2.999999999999999737e-04 3.899999999999999821e-03
2.548700000000000045e+02 -2.999999999999999737e-04 2.799999999999999972e-03
