# ACT PA5 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 150 GHz error on response from bootstrap
8.898000000000000398e+01 -1.199999999999999895e-03 2.100000000000000130e-02
9.007999999999999829e+01 -1.980000000000000163e-02 2.179999999999999993e-02
9.118000000000000682e+01 -3.379999999999999671e-02 1.890000000000000013e-02
9.228000000000000114e+01 -3.359999999999999792e-02 2.149999999999999828e-02
9.337999999999999545e+01 -3.819999999999999785e-02 2.170000000000000054e-02
9.446999999999999886e+01 -3.699999999999999817e-02 2.009999999999999981e-02
9.556999999999999318e+01 -2.170000000000000054e-02 2.319999999999999840e-02
9.667000000000000171e+01 -3.320000000000000034e-02 1.750000000000000167e-02
9.776999999999999602e+01 -3.769999999999999740e-02 1.580000000000000154e-02
9.887000000000000455e+01 -3.570000000000000256e-02 1.760000000000000106e-02
9.996999999999999886e+01 -2.359999999999999945e-02 1.669999999999999957e-02
1.010699999999999932e+02 -2.599999999999999881e-02 1.640000000000000138e-02
1.021599999999999966e+02 -4.519999999999999712e-02 1.669999999999999957e-02
1.032600000000000051e+02 -3.139999999999999736e-02 1.710000000000000062e-02
1.043599999999999994e+02 -1.549999999999999989e-02 1.679999999999999896e-02
1.054599999999999937e+02 -3.139999999999999736e-02 1.590000000000000094e-02
1.065600000000000023e+02 -2.220000000000000098e-02 1.430000000000000021e-02
1.076599999999999966e+02 -2.649999999999999925e-02 1.529999999999999936e-02
1.087600000000000051e+02 -2.290000000000000022e-02 1.469999999999999953e-02
1.098499999999999943e+02 -2.989999999999999949e-02 1.540000000000000049e-02
1.109500000000000028e+02 -1.760000000000000106e-02 1.619999999999999912e-02
1.120499999999999972e+02 -8.300000000000000086e-03 1.650000000000000078e-02
1.131500000000000057e+02 -5.799999999999999600e-03 1.439999999999999961e-02
1.142500000000000000e+02 -2.549999999999999836e-02 1.439999999999999961e-02
1.153499999999999943e+02 -2.009999999999999981e-02 1.230000000000000017e-02
1.164500000000000028e+02 -3.269999999999999990e-02 1.250000000000000069e-02
1.175400000000000063e+02 -3.259999999999999704e-02 1.209999999999999964e-02
1.186400000000000006e+02 -1.899999999999999953e-02 1.089999999999999997e-02
1.197399999999999949e+02 -1.799999999999999864e-02 1.060000000000000005e-02
1.208400000000000034e+02 -1.549999999999999989e-02 9.700000000000000289e-03
1.219399999999999977e+02 -1.820000000000000090e-02 1.209999999999999964e-02
1.230400000000000063e+02 -1.549999999999999989e-02 1.230000000000000017e-02
1.241400000000000006e+02 -1.190000000000000085e-02 1.359999999999999924e-02
1.252300000000000040e+02 8.899999999999999925e-03 1.549999999999999989e-02
1.263299999999999983e+02 5.220000000000000334e-02 1.669999999999999957e-02
1.274300000000000068e+02 1.062000000000000027e-01 1.980000000000000163e-02
1.285300000000000011e+02 1.809999999999999942e-01 2.259999999999999856e-02
1.296299999999999955e+02 2.671999999999999931e-01 2.500000000000000139e-02
1.307299999999999898e+02 3.551000000000000267e-01 2.369999999999999885e-02
1.318300000000000125e+02 4.187000000000000166e-01 2.350000000000000006e-02
1.329300000000000068e+02 4.437999999999999723e-01 2.400000000000000050e-02
1.340200000000000102e+02 4.530000000000000138e-01 2.549999999999999836e-02
1.351200000000000045e+02 4.909000000000000030e-01 2.549999999999999836e-02
1.362199999999999989e+02 5.294999999999999707e-01 2.469999999999999973e-02
1.373199999999999932e+02 5.500000000000000444e-01 2.450000000000000094e-02
