# ACT PA1 Bandpass Data — from Rahul Datta (average over 18 individual detector bandpasses measured for PA1)
# Truncated by JCH using criteria in 'passbands' notebook 1/27/19
#col0: frequency [GHz]
#col1: 150 GHz response
#col2: 1-sigma error
#nu(GHz)       fnu	fnu_err
1.304900000000000091e+02 5.933000000000000496e-01 9.518699999999999384e-02
1.309900000000000091e+02 6.209599999999999564e-01 1.104300000000000004e-01
1.314900000000000091e+02 5.874300000000000077e-01 1.081199999999999939e-01
1.319900000000000091e+02 6.094100000000000072e-01 1.151299999999999962e-01
1.324900000000000091e+02 6.960699999999999665e-01 1.276500000000000135e-01
1.329900000000000091e+02 7.054700000000000415e-01 1.268199999999999883e-01
1.334900000000000091e+02 6.348300000000000054e-01 1.173099999999999976e-01
1.339900000000000091e+02 6.219700000000000228e-01 9.395199999999999385e-02
1.344900000000000091e+02 6.895200000000000218e-01 8.233400000000000440e-02
1.349900000000000091e+02 7.014099999999999779e-01 7.361099999999999588e-02
1.354900000000000091e+02 6.430799999999999850e-01 7.159000000000000086e-02
1.359900000000000091e+02 6.597800000000000331e-01 7.475099999999999800e-02
1.364900000000000091e+02 7.693299999999999583e-01 8.783699999999999841e-02
1.369900000000000091e+02 8.133200000000000429e-01 1.003399999999999986e-01
1.374900000000000091e+02 7.534499999999999531e-01 8.893800000000000316e-02
1.379900000000000091e+02 7.603199999999999958e-01 9.680700000000000416e-02
1.384900000000000091e+02 8.158800000000000496e-01 1.150400000000000034e-01
1.389900000000000091e+02 7.675999999999999490e-01 1.088299999999999962e-01
1.394900000000000091e+02 6.669100000000000028e-01 9.038799999999999613e-02
1.399900000000000091e+02 6.631500000000000172e-01 8.124299999999999577e-02
1.404900000000000091e+02 7.289600000000000524e-01 8.555999999999999717e-02
1.409799999999999898e+02 7.177000000000000046e-01 8.950099999999999723e-02
1.414799999999999898e+02 6.697300000000000475e-01 8.829599999999999949e-02
1.419799999999999898e+02 7.333699999999999664e-01 9.592900000000000038e-02
1.424799999999999898e+02 8.522699999999999720e-01 1.083999999999999964e-01
1.429799999999999898e+02 8.434500000000000330e-01 1.004199999999999954e-01
1.434799999999999898e+02 7.693100000000000493e-01 8.488099999999999812e-02
1.439799999999999898e+02 8.010000000000000453e-01 8.169200000000000073e-02
1.444799999999999898e+02 8.486799999999999899e-01 7.590900000000000425e-02
1.449799999999999898e+02 7.848500000000000476e-01 6.739699999999999858e-02
1.454799999999999898e+02 6.970300000000000384e-01 6.391199999999999659e-02
1.459799999999999898e+02 7.263500000000000512e-01 6.659900000000000542e-02
1.464799999999999898e+02 8.083700000000000330e-01 6.022899999999999782e-02
1.469799999999999898e+02 8.025999999999999801e-01 4.786699999999999983e-02
1.474799999999999898e+02 7.797800000000000287e-01 4.702699999999999936e-02
1.479799999999999898e+02 8.588500000000000023e-01 5.547699999999999854e-02
1.484799999999999898e+02 9.317600000000000326e-01 7.853799999999999670e-02
1.489799999999999898e+02 8.736800000000000122e-01 6.793599999999999639e-02
1.494799999999999898e+02 8.028499999999999526e-01 5.617400000000000171e-02
1.499799999999999898e+02 8.608599999999999586e-01 5.245799999999999769e-02
1.504799999999999898e+02 9.011000000000000121e-01 4.876599999999999685e-02
1.509799999999999898e+02 7.949000000000000510e-01 4.589599999999999930e-02
1.514799999999999898e+02 7.143300000000000205e-01 4.565299999999999914e-02
1.519799999999999898e+02 7.824100000000000499e-01 5.404699999999999782e-02
1.524799999999999898e+02 8.751499999999999835e-01 4.986299999999999760e-02
1.529799999999999898e+02 8.568000000000000060e-01 4.212099999999999872e-02
