# ACT PA3 90 GHz Bandpass Data — from Rahul Datta (average over 17 individual detector bandpasses measured for PA3 90 GHz)
# Truncated by JCH using criteria in 'passbands' notebook 1/27/19
#col0: frequency [GHz]
#col1: 90 GHz response
#col2: 1-sigma error
#nu(GHz)       fnu	fnu_err
7.998999999999999488e+01 4.569199999999999928e-01 8.228900000000000103e-02
8.048999999999999488e+01 4.415899999999999825e-01 8.304599999999999482e-02
8.098999999999999488e+01 5.112299999999999622e-01 8.633000000000000396e-02
8.148999999999999488e+01 5.659999999999999476e-01 1.385899999999999910e-01
8.198999999999999488e+01 5.147500000000000409e-01 1.436399999999999899e-01
8.248999999999999488e+01 4.381599999999999939e-01 1.134099999999999969e-01
8.298999999999999488e+01 4.298899999999999944e-01 8.784500000000000641e-02
8.348999999999999488e+01 4.699099999999999944e-01 1.004000000000000031e-01
8.398999999999999488e+01 4.362599999999999811e-01 8.736599999999999921e-02
8.448999999999999488e+01 4.041699999999999737e-01 7.155599999999999461e-02
8.498999999999999488e+01 4.667299999999999782e-01 7.140399999999999525e-02
8.548999999999999488e+01 5.444400000000000350e-01 9.755700000000000482e-02
8.598999999999999488e+01 5.446499999999999675e-01 1.142699999999999966e-01
8.648999999999999488e+01 5.342999999999999972e-01 1.050100000000000061e-01
8.698999999999999488e+01 5.815599999999999659e-01 1.158000000000000002e-01
8.748999999999999488e+01 6.467800000000000216e-01 1.173199999999999937e-01
8.798999999999999488e+01 6.186399999999999677e-01 9.493500000000000549e-02
8.848999999999999488e+01 5.614000000000000101e-01 7.401000000000000634e-02
8.898999999999999488e+01 5.994000000000000439e-01 7.480599999999999750e-02
8.948999999999999488e+01 6.571000000000000174e-01 8.441700000000000592e-02
8.998999999999999488e+01 6.013199999999999656e-01 8.068100000000000271e-02
9.048999999999999488e+01 5.525700000000000056e-01 7.734299999999999509e-02
9.098999999999999488e+01 6.376399999999999846e-01 9.744300000000000184e-02
9.148999999999999488e+01 7.080600000000000227e-01 1.289899999999999936e-01
9.198999999999999488e+01 6.626699999999999813e-01 1.294200000000000073e-01
9.248999999999999488e+01 6.438700000000000534e-01 1.156200000000000006e-01
9.298999999999999488e+01 7.348999999999999977e-01 1.174499999999999988e-01
9.348999999999999488e+01 7.881000000000000227e-01 1.179899999999999977e-01
9.398999999999999488e+01 6.957400000000000251e-01 1.015599999999999975e-01
9.448999999999999488e+01 6.332699999999999996e-01 6.527399999999999869e-02
9.498999999999999488e+01 6.643200000000000216e-01 4.798899999999999694e-02
9.548999999999999488e+01 6.756299999999999528e-01 5.501400000000000040e-02
9.598999999999999488e+01 6.238799999999999901e-01 5.013200000000000295e-02
9.648999999999999488e+01 6.150700000000000056e-01 6.680099999999999927e-02
9.698999999999999488e+01 7.226299999999999946e-01 9.819700000000000650e-02
9.748999999999999488e+01 8.151800000000000157e-01 1.062300000000000050e-01
9.798999999999999488e+01 7.831000000000000183e-01 1.194400000000000045e-01
9.848999999999999488e+01 7.625199999999999756e-01 1.457700000000000107e-01
9.898999999999999488e+01 8.716300000000000159e-01 1.513899999999999968e-01
9.948999999999999488e+01 9.228100000000000191e-01 1.557099999999999873e-01
9.998999999999999488e+01 8.292500000000000426e-01 1.360200000000000020e-01
1.004899999999999949e+02 7.961300000000000043e-01 1.087999999999999939e-01
1.009899999999999949e+02 8.996600000000000152e-01 1.002600000000000019e-01
1.014899999999999949e+02 9.590199999999999836e-01 9.316000000000000669e-02
1.019899999999999949e+02 8.970099999999999740e-01 7.968000000000000083e-02
1.024899999999999949e+02 8.967800000000000216e-01 6.776500000000000579e-02
1.029899999999999949e+02 9.775800000000000045e-01 6.745299999999999907e-02
1.034899999999999949e+02 9.261300000000000088e-01 8.439800000000000080e-02
1.039899999999999949e+02 7.708099999999999952e-01 1.147600000000000009e-01
1.044899999999999949e+02 7.366000000000000325e-01 1.479199999999999959e-01
